,State,Total_posterior,Total_prior,Total_std,ONG_max,ONG_prior,ONG_std,ONG_min,ONG_posterior,Total_min,Total_max,Total_ExclSoilAbs_posterior,Total_ExclSoilAbs_prior,Total_ExclSoilAbs_std,Total_ExclSoilAbs_min,Total_ExclSoilAbs_max,Oil_posterior,Oil_prior,Oil_std,Oil_min,Oil_max,Gas_posterior,Gas_prior,Gas_std,Gas_min,Gas_max,Coal_posterior,Coal_prior,Coal_std,Coal_min,Coal_max,Livestock_posterior,Livestock_prior,Livestock_std,Livestock_min,Livestock_max,Landfills_posterior,Landfills_prior,Landfills_std,Landfills_min,Landfills_max,Wastewater_posterior,Wastewater_prior,Wastewater_std,Wastewater_min,Wastewater_max,Rice_posterior,Rice_prior,Rice_std,Rice_min,Rice_max,OtherAnth_posterior,OtherAnth_prior,OtherAnth_std,OtherAnth_min,OtherAnth_max,BiomassBurn_posterior,BiomassBurn_prior,BiomassBurn_std,BiomassBurn_min,BiomassBurn_max,Reservoirs_posterior,Reservoirs_prior,Reservoirs_std,Reservoirs_min,Reservoirs_max,Wetlands_posterior,Wetlands_prior,Wetlands_std,Wetlands_min,Wetlands_max,Termites_posterior,Termites_prior,Termites_std,Termites_min,Termites_max,Lakes_posterior,Lakes_prior,Lakes_std,Lakes_min,Lakes_max,Seeps_posterior,Seeps_prior,Seeps_std,Seeps_min,Seeps_max,SoilAbsorb_posterior,SoilAbsorb_prior,SoilAbsorb_std,SoilAbsorb_min,SoilAbsorb_max,Year
0,Alabama,1.0905744983058585,0.9037640815023412,0.06074907440531558,0.15207028335899253,0.12607288568095887,0.012374778449359575,0.10756579633312671,0.13765147554859838,0.9360234927122951,1.2147758181520918,1.1244469983794758,0.9376366294667499,0.06074908520332008,0.9698959601242539,1.2486483458931885,0.0007397978064765054,0.0008858689953237948,0.00015888988676753056,0.000322276042246638,0.0008910022599670083,0.13691167774212187,0.12518701668563506,0.012215888562592045,0.10724352029088008,0.1511792810990255,0.20640072047417005,0.1859972138933222,0.01899828574413848,0.17152355669642,0.2463087349239487,0.12338749175477705,0.09847923020600798,0.005247364501476115,0.11346176545321017,0.1441181285241365,0.2010598354009633,0.15922949631411515,0.00810298299414867,0.1846702187290382,0.22968350248947023,0.04004931108993262,0.034523155586470566,0.0013695612776798193,0.036811219582297994,0.04359015360325866,0.0,0.0,0.0,0.0,0.0,0.0123888957780079,0.01045587663847635,0.0005520228839224262,0.01098381380171533,0.013710319551136219,0.003892869677117708,0.003231349785881836,0.0002722388337699358,0.003455524140442043,0.005135688554600217,0.18685659500881463,0.12991308890244518,0.006664975197677055,0.1696937355395003,0.2018684035135559,0.1970515480748406,0.17769799892770755,0.016868824462167285,0.1533368662206193,0.23092561197477127,0.012764949016871401,0.009773967285553485,0.0008229049906295081,0.011372890928263995,0.015827017174119853,0.0,0.0,0.0,0.0,0.0,0.002942991215395656,0.002262149572679141,0.0002118674137055378,0.0026463692073704363,0.0037096189335160488,-0.033872613366086365,-0.033872613366086365,0.0,-0.033872613366086365,-0.033872613366086365,2021
1,Arizona,0.015898699990878878,0.16472295736028728,0.0552962185059023,0.03807747617023392,0.04677288090822422,0.007717606289866526,0.00822340628837346,0.025223323635371987,-0.11260059480091647,0.10456911331392706,0.13757904963353568,0.286403290823894,0.055296204081007515,0.00907979792876994,0.2262494490093552,2.8711813495821803e-06,5.805629795071015e-06,1.8489579740276482e-06,-1.907729926340744e-06,4.982639816183302e-06,0.025220452454022404,0.04676707527842915,0.007715757331892498,0.0082253140182998,0.038072493530417736,0.0004107509665451279,0.0011672580582331536,0.00048316376051145605,-0.0009377074645820471,0.0009237807394793755,0.05569707154081665,0.11337552851211309,0.02245241488030817,0.0025417297068777863,0.090605579409468,0.03091196623730676,0.06691156959941394,0.010161123039436195,0.012209679017673673,0.051043400252064844,0.004558150501096104,0.008195026175850285,0.0007307481954505445,0.003359172316024573,0.006399443737507764,0.0,0.0,0.0,0.0,0.0,0.0028849366848305077,0.005882031040849721,0.0008087601102350827,0.0014435851792142377,0.004540294792757555,0.0015861265060266826,0.0052598171914146116,0.002830526898380695,-0.0063677008611874265,0.004275083611217539,0.005647904318024722,0.018015326890641246,0.004890347058050049,-0.006204560187052165,0.012797255298309728,0.0029004734639542585,0.006499166228248555,0.0023119558688654888,-0.0034407228580340932,0.005383475170665577,0.007259110577535784,0.013376648803446517,0.003570549136876112,-0.002312692200640151,0.011378342741635933,0.0,0.0,0.0,0.0,0.0,0.0004992671518909205,0.0009481137453258996,0.00034137250867687563,-0.00046694118430938136,0.000825372924379863,-0.12168035350480708,-0.1216803535048071,0.0,-0.1216803535048071,-0.1216803535048071,2021
2,Arkansas,0.94878842270374,0.8206112596019031,0.06760677582682637,0.17226582552319297,0.1355418568225792,0.0071527201749711595,0.1407030564271232,0.15675314127897394,0.7823805560109942,1.0677590252550044,0.9861133794926472,0.8579361876553792,0.06760678612439343,0.8197055067958287,1.105084043747835,0.007905389566693583,0.006616418892734043,0.00028569232508892446,0.007263916808984041,0.008361035970793504,0.14884775171228035,0.12892543792984515,0.006867027849882235,0.13343913961813916,0.16390478955239945,0.015684995548862563,0.012552219672289752,0.0007426532087514474,0.01471264796142805,0.018070597299030062,0.15009638617467627,0.1290031310536328,0.008068238330005735,0.1321619032055029,0.17599298411187375,0.06737049362979725,0.057746650483040486,0.0033733711565093498,0.059595315920891956,0.07844057436009594,0.015172703442146471,0.01353539242238339,0.0011220760211836617,0.012552704771478126,0.017945119426376083,0.24243159864769226,0.20413518332047606,0.017794475430368082,0.20167365645710883,0.28220337220825464,0.010492677141123305,0.009209953844922321,0.0008220131592639158,0.008467333304920666,0.012464257929123795,0.012568292070320607,0.010345923236369245,0.0010224652306308666,0.01032761647102801,0.015128204036884252,0.06617775820686135,0.0683971817857519,0.012558321203908865,0.03548165887120519,0.0793218077644221,0.23011362835278118,0.2006245360601722,0.01634704969329067,0.18657926224328614,0.25744850799142555,0.013300136821397012,0.011767570616375659,0.0009976606414228873,0.010651238052305043,0.01470326481808357,0.0,0.0,0.0,0.0,0.0,0.00595167142215243,0.005076729463043468,0.000260845485047586,0.005389152861474603,0.006830164531192099,-0.037324907492154336,-0.037324907492154336,6.938893903907228e-18,-0.037324907492154336,-0.037324907492154336,2021
3,California,1.4417130499895545,2.129527475895879,0.2327037877151871,0.20841534280599222,0.2270354130937029,0.03477326504624414,0.08254336119022673,0.15430148991829865,0.9720530191482105,1.8163922529033194,1.5723248810094677,2.2601396418831903,0.2327038459661015,1.1026646738086165,1.9470041174681403,0.07850324277577753,0.07702335152327795,0.005548545635299419,0.06721713812460224,0.08913957984963365,0.07579824714252112,0.15001206157042493,0.02922471941094472,0.015326223065624499,0.11927576295635857,0.0,0.0,0.0,0.0,0.0,0.8930256443774706,0.7740005341089569,0.06187582110415074,0.7499286740338656,1.0249828962742924,0.20004222288320483,0.3762443977646289,0.0763599567082445,0.06503945876793882,0.32106383636195207,0.020243669017328658,0.04812671989303947,0.009710763804830306,0.0009870435226304614,0.035375190576601795,0.05495957697606766,0.14509684551602797,0.013119874849265472,0.03151560597279315,0.08068045875365215,0.01786677610867471,0.03288464205599789,0.006397423147775361,0.00418816423750511,0.02701413432556845,0.15571174536168628,0.44704363394855295,0.011301636343802721,0.1357565305893268,0.18629552026837704,0.025458053981420276,0.06952184511888881,0.00845915436058386,0.01001459222921401,0.04121821652699374,0.025137229398224447,0.060798881104191786,0.011858358159427613,-0.000829554045547181,0.04122099206999313,0.009510865911072676,0.016686305953295944,0.003958301247217289,-0.00019981773303190715,0.014220398771942611,0.0,0.0,0.0,0.0,0.0,0.016067550866100174,0.06269992146636372,0.024985665108274886,-0.046933303790028094,0.045298967524738665,-0.13061201848957069,-0.1306120184895707,0.0,-0.1306120184895707,-0.1306120184895707,2021
4,Colorado,0.4238490227902007,0.7180380892173677,0.12143630105566042,0.31585668540124606,0.31028672065783525,0.025441851469299025,0.21860611665457172,0.2583073443931084,0.17117735922628333,0.5863331534781638,0.5035732939699432,0.7977624081975947,0.12143628631538644,0.25090166735768865,0.6660574442493663,0.03492114245596443,0.03743361785241426,0.004090398473353281,0.029820013253405688,0.04423951683358719,0.22338620193714392,0.27285310280542097,0.021351452995945742,0.18878610340116603,0.2716171685676589,0.009068817854442293,0.04110766442895882,0.011489210488741526,-0.011184613867683458,0.02826845072684241,0.1462116286046384,0.24511649315451614,0.0438042355444171,0.04917493882872734,0.20412933592772167,0.04165560492204472,0.0776003937083959,0.013650164366269354,0.012305427087227915,0.060650587509045305,0.006796404958884553,0.012681126670699414,0.002112297615470697,0.002758531354889361,0.009969867727740967,0.0,0.0,0.0,0.0,0.0,0.006296000278062768,0.010986779572972142,0.0019161219909729936,0.0022218474965113237,0.008860482642403252,0.001416925865020959,0.003903744417866909,0.0014102756366249614,-0.0019898490269092536,0.003053278529643684,0.0009356603349548625,0.008084259565115298,0.0032477304240386092,-0.00592833504190462,0.005574132882206762,0.010546098849729298,0.034329277072709455,0.014329444902493112,-0.02523787311605397,0.0267693162138004,0.008683551160284436,0.019120031335436303,0.005711299474832915,-0.0049918442510217135,0.015571793285470458,0.0,0.0,0.0,0.0,0.0,0.013655319226091815,0.034545941014466,0.012047211037335194,-0.01403667565945675,0.027855140503925534,-0.07972450397753805,-0.07972450397753805,0.0,-0.07972450397753805,-0.07972450397753805,2021
5,Connecticut,0.036724138876273474,0.048008101253896936,0.008057126764715277,0.006781977241685776,0.007159422537095955,0.0013129067963050132,0.0019513371085213486,0.005360222381635321,0.01593322742780707,0.045600312742491586,0.038814872694621874,0.050098835825900016,0.008057128028535997,0.01802395704881731,0.047691047537968254,0.0,0.0,0.0,0.0,0.0,0.005360222381635321,0.007159422537095955,0.0013129067963050132,0.0019513371085213486,0.006781977241685776,0.0,0.0,0.0,0.0,0.0,0.00258302059469101,0.003137848773523176,0.00038393168143501427,0.0015857106912310422,0.0030150249737668556,0.0053011704733604776,0.006148434012097836,0.0004725944645835352,0.004275348094528892,0.00593771313851031,0.0024437543139714316,0.003177874154460176,0.0005231457484585931,0.0011012166406560552,0.0030214559619266834,0.0,0.0,0.0,0.0,0.0,0.0022674636445413027,0.0029727684179807886,0.0005109980787107865,0.000940968570804921,0.0028238501060231327,3.2966104400590924e-05,4.2110977373226705e-05,6.505510127844271e-06,1.6213855554477062e-05,4.015806421457096e-05,0.0,0.0,0.0,0.0,0.0,0.02052486802798689,0.027058779974538948,0.004780285448784008,0.00804475691638708,0.025690158233773183,0.00030140774018281723,0.0004015976082926924,7.377283948887467e-05,0.00010840668696161513,0.0003807104040719612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020907293109260986,-0.0020907293109260986,4.336808689942018e-19,-0.0020907293109260986,-0.0020907293109260986,2021
6,Delaware,0.051331984919477665,0.06236113187974716,0.009235631391992214,0.0010969459537709136,0.0011096202662473661,0.0001654043707807964,0.0005083755443383109,0.0009172534753296934,0.028242364502779175,0.06135269109846746,0.053059987693566776,0.06408913103806228,0.009235630330540317,0.029970367809772736,0.06308069181578521,0.0,0.0,0.0,0.0,0.0,0.0009172534753296934,0.0011096202662473661,0.0001654043707807964,0.0005083755443383109,0.0010969459537709136,0.0,0.0,0.0,0.0,0.0,0.003123398252158203,0.00374945163121993,0.0005419922090328498,0.001785547694627925,0.0037141285096837086,0.007438285326933694,0.00904934324905123,0.001473974809619535,0.003678684523129987,0.00898373800066616,0.004169456749302751,0.005362788432939979,0.0009149192948375754,0.0019098335281551272,0.005181129432252369,0.0,0.0,0.0,0.0,0.0,0.0004275372286380037,0.0005235501516412245,8.620654671904068e-05,0.0002107318889540497,0.0005191453713850021,3.52134125554834e-05,4.466208363216579e-05,8.148962891023731e-06,1.4387381720471253e-05,4.37282162850365e-05,0.0,0.0,0.0,0.0,0.0,0.03673882997156179,0.043997779573345545,0.006009376099593374,0.02174695277600495,0.043292964332311466,0.0002100625552907282,0.00025199850731288703,3.694149502851405e-05,0.00011543628178804934,0.00024897372564395637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0017280224162823194,-0.0017280224162823194,4.336808689942018e-19,-0.0017280224162823194,-0.0017280224162823194,2021
7,Florida,1.1340093921649355,1.09664079156164,0.04389749476337967,0.04438647140235088,0.039724658781009406,0.0006750401620504011,0.04059654406300729,0.0415890033921202,1.0215488280214542,1.2519499931581006,1.1508397051609938,1.1134710882313459,0.04389748528767515,1.0383791752702587,1.2687803185690851,2.1085601282072647e-05,1.9915145473204763e-05,1.3402410296205649e-06,1.9945167027575987e-05,2.5485161241879343e-05,0.04156791779083813,0.0397047436355362,0.0006736999210207805,0.04057659889597972,0.044360986241109,0.0,0.0,0.0,0.0,0.0,0.1544377533355813,0.14319172210574682,0.004410226066654436,0.14772374384932238,0.1756761879233703,0.2744392711122023,0.24515370086703692,0.011634192123874714,0.25663368412576654,0.3254089554379265,0.014821086849821806,0.014426525502708707,0.00025662938797860484,0.014358318047676276,0.015517523772830083,0.0,0.0,0.0,0.0,0.0,0.015116056896712369,0.014530559963686119,0.0002500443604798808,0.014753297680840247,0.016174375659951327,0.014232739664274182,0.013250965826709383,0.0004894133719709423,0.013615841280347298,0.015541652023118649,0.0017406378833140339,0.0015835717782548013,5.0880155577948955e-05,0.0016740713267920037,0.0019099612060301545,0.6281663892097276,0.6352728022315467,0.04046795766212811,0.5128097260775158,0.6673874991614988,0.006179748283297806,0.00622469409001591,0.0003165858743330494,0.005375715876294417,0.006813805886584133,0.0,0.0,0.0,0.0,0.0,0.00011720096244596533,0.00011207830768566989,4.246818192138753e-06,0.00011293423560078732,0.00013340020781967858,-0.016830248809382286,-0.016830248809382286,3.469446951953614e-18,-0.016830248809382286,-0.016830248809382286,2021
8,Georgia,1.3492806870188112,0.7595680730106276,0.1671698372351285,0.08805231746357618,0.03692154294170879,0.0077875429187080165,0.052419002101403524,0.07152690056047555,1.0047516113832329,1.7998030254868054,1.39062815557851,0.8009157678800247,0.1671697448996116,1.046099242696289,1.8411502572189498,0.0,0.0,0.0,0.0,0.0,0.07152690056047555,0.03692154294170879,0.0077875429187080165,0.052419002101403524,0.08805231746357618,0.0,0.0,0.0,0.0,0.0,0.1994713463763884,0.12057516644374211,0.020566012881645085,0.15770834179559395,0.26535903158875224,0.4278805353546079,0.21217594301852954,0.05655940090841126,0.3020670180696103,0.5627416477930234,0.027155053708156095,0.015719054950465883,0.0021976054007382026,0.021763793416563898,0.03165733487467649,1.4219945808064476e-14,4.861813461426206e-15,2.99981013863431e-15,8.196888448957155e-15,2.1069063400796267e-14,0.023173357135531533,0.013353197577757783,0.002040471122925864,0.01813599752429448,0.028190000589405566,0.008767418397563839,0.005287043655308517,0.0010216945922180856,0.006762905719473917,0.011767626223852046,0.13420958570650166,0.07410908011934399,0.014182627838420099,0.10175444872222825,0.165403335389182,0.4804527776115738,0.3124968827966911,0.06474344269390783,0.37167332631134853,0.6645904010367961,0.017615012942179233,0.010065536535699075,0.0018454595609065608,0.013529760177077008,0.02275508381615902,0.0,0.0,0.0,0.0,0.0,0.00037614726201389904,0.00021223419189846552,8.098978408462415e-05,0.00026589354943631996,0.0008073662451766181,-0.04134788189624713,-0.04134788189624713,0.0,-0.04134788189624713,-0.04134788189624713,2021
9,Idaho,0.1371466798628121,0.46007325912134617,0.099247058916686,0.011960278357323516,0.015394637648537518,0.003217017497897672,-0.0003210974481375371,0.006899864320852988,-0.056506196577664584,0.3130089675930014,0.20477346869815505,0.5277000940035997,0.0992470623942066,0.011120598483033694,0.38063577366505724,0.0,0.0,0.0,0.0,0.0,0.006899864320852988,0.015394637648537518,0.003217017497897672,-0.0003210974481375371,0.011960278357323516,0.0,0.0,0.0,0.0,0.0,0.11374655442911147,0.3163874031763426,0.05561839987940914,0.009421349362391388,0.2185977238160579,0.008970703898865026,0.0197030021844505,0.0025325756331065394,0.004701765767141493,0.014360566226357032,0.000946199671746858,0.0035975461239975753,0.0010405547569611409,-0.0012012108408922968,0.002565557256926646,0.0,0.0,0.0,0.0,0.0,0.002166611083422898,0.005872658276932058,0.0012757239521844013,-0.0004133829389960686,0.004317905231581115,0.024358004260989035,0.02712013757842122,0.0012779844657959819,0.023023251823177514,0.027882674789704635,0.020770492893298905,0.0837530094827553,0.024642477334239465,-0.028734851026818577,0.0597730460492969,0.018722118807986333,0.038806264949985604,0.008839020593077259,-0.0018888037236444017,0.031397327601539175,0.007147547105729055,0.014171866725289738,0.002865311354861842,0.0005166304893507963,0.0113215069375531,0.0,0.0,0.0,0.0,0.0,0.001045317478373351,0.002893431024492086,0.0010938212702165018,-0.0018331179949168486,0.0022826765807655624,-0.06762678119482642,-0.06762678119482642,0.0,-0.06762678119482642,-0.06762678119482642,2021
