Total,Total_ExclSoilAbs,Gas,Oil,Coal,Livestock,Rice,Landfills,Wastewater,OtherAnth,BiomassBurn,Wetlands,Reservoirs,SoilAbsorb,Termites,Lakes,Seeps,Year,State
3.898469284927424,4.163589725306249,1.4241470106569716,0.5713187423625887,0.01390128402890144,0.9504990691275536,0.038096543019496165,0.45117637355253637,0.047648442153828935,0.11663965267578567,0.00309733199827104,0.3115465630664289,0.139756369580661,-0.2651204672692677,0.06259596253525115,0.0,0.03316652377106324,2017,Texas
3.948186452129263,4.213306267248138,1.455349777141993,0.5510522825141342,0.009424884992538215,0.9597583463574288,0.03914234979589837,0.4723862636808766,0.053109950580635966,0.1232932287065512,0.002723589709731366,0.31154656120355934,0.139756369580661,-0.26512046821558805,0.06259596253525115,0.0,0.03316652377106324,2018,Texas
4.017941983144863,4.283062729556717,1.468305558364354,0.5993121117909211,0.008586829825902396,0.9606898613635707,0.03784291252020289,0.4812606207972876,0.052721894439856525,0.12548331932501974,0.0017938115581648572,0.3115465568953969,0.139756369580661,-0.2651204768998061,0.06259596253525115,0.0,0.03316652377106324,2019,Texas
3.8992630738506096,4.16425474320548,1.3927266272007803,0.583629213971407,0.0065304664622916255,0.9574972901658031,0.03952488185234353,0.46134890875800305,0.05311253511282303,0.12114072584121607,0.0021009202458150055,0.31112419010182313,0.13975637064625243,-0.26499147770701353,0.0625959624101126,0.0,0.03316652359395026,2020,Texas
1.2838484790075062,1.3496800357368177,0.506914654120391,0.0809699687552873,0.03440048367227439,0.3584739628011905,0.0,0.08467595711368613,0.00851610435775042,0.029104278634324292,0.0022761679104453675,0.08180844875928737,0.13935824343406794,-0.06583159648607631,0.017286586537101873,0.0,0.005895212579762374,2017,Oklahoma
1.2903324762285568,1.3561641730339085,0.5174478529076535,0.0751153763893077,0.033266301417861965,0.3587607972208059,0.0,0.08535581818083925,0.010373083724056643,0.028811540469421457,0.0026850494261484105,0.08180844694817034,0.13935824343406794,-0.06583159979343423,0.017286586537101873,0.0,0.005895212579762374,2018,Oklahoma
1.2912329054921383,1.3570647108287934,0.5215215313572689,0.07477624286526437,0.02969649235940358,0.35898152276210216,0.0,0.08688687337662133,0.010353749780727468,0.029048203824905822,0.0014517869848762054,0.0818084479827429,0.13935824343406794,-0.06583159544791027,0.017286586537101873,0.0,0.005895212579762374,2019,Oklahoma
1.2647478755695647,1.3305539207394412,0.49827483903524683,0.07955897262359327,0.02702798816095215,0.3579454990798925,0.0,0.08348436872707714,0.010536797353584218,0.028315429132839902,0.0011983580838480384,0.08167180656191171,0.13935824452200363,-0.06580600212064922,0.01728658649435,0.0,0.005895212521420678,2020,Oklahoma
1.4098692425402588,1.4382680090100912,0.4194647800470948,0.038336049113004596,0.4956094547076385,0.20104719656670036,0.0,0.10974723461010635,0.012363615519395545,0.06780451131456423,0.001212552946051424,0.08045980323157088,0.0036978142430004186,-0.02839914530159064,0.00730447092007768,0.0,0.001220476432690546,2017,Pennsylvania
1.4100018310521072,1.4384007671762065,0.44237040706123393,0.03446951937684042,0.47397202259151017,0.20483998064041956,0.0,0.10339513654918507,0.012274829122018965,0.07256162907188583,0.0018342267603943965,0.08045980550199618,0.0036978142430004186,-0.02839914477492576,0.00730447092007768,0.0,0.001220476432690546,2018,Pennsylvania
1.3562419918733521,1.3846407851423566,0.43566571688616207,0.03473780694363539,0.42603685924213003,0.20449127588181545,0.0,0.10515514301288532,0.01193584123825857,0.07330883981330086,0.0006275303953128045,0.08045980273947474,0.0036978142430004186,-0.028399145032085384,0.00730447092007768,0.0,0.001220476432690546,2019,Pennsylvania
1.2868797092074393,1.3152315932026384,0.41331032396131806,0.03804705942275962,0.382141900267825,0.20454468741532675,0.0,0.1013159899173803,0.012432099633764989,0.0701375070443025,0.0007441665607332745,0.08033413529025621,0.0036978142988650805,-0.0283512676276451,0.007304470593661562,0.0,0.0012204764363843643,2020,Pennsylvania
1.7509217447814502,1.8830963954424291,0.14786008522693567,0.08292198751483595,0.0,0.7796319206038916,0.13540507805938648,0.3671296055519954,0.047481016631569554,0.034628190129814676,0.09652786384970248,0.06369053532337039,0.053534200316282594,-0.1321746772423859,0.016964069361806847,0.0,0.057321881779186026,2017,California
1.7958814895189072,1.9280560497511876,0.1501472876316797,0.07094113292115783,0.0,0.7731958123426454,0.14359267398595085,0.36334769632719854,0.04731306090291757,0.03484229123146749,0.15316544116084527,0.06369053470739963,0.053534200316282594,-0.13217468095123752,0.016964069361806847,0.0,0.057321881779186026,2018,California
1.657217990142317,1.7893928286481442,0.1497086380809818,0.07111859403415616,0.0,0.7706202571031887,0.13882575808183725,0.36948632252098135,0.0457351307781064,0.035508222049224075,0.016878436663576978,0.06369053521745119,0.053534200316282594,-0.13217468120344714,0.016964069361806847,0.0,0.057321881779186026,2019,California
2.1217798276899886,2.2538038173841075,0.15047432662700247,0.07700333036025385,0.0,0.7726130145274911,0.14499602280446547,0.3566097164927702,0.04654986237473146,0.032309279719262174,0.48162205876613173,0.06380551416051224,0.05353419987055196,-0.13202407952590395,0.016964068456298297,0.0,0.05732188220488843,2020,California
0.8802395478611118,0.9602730807353845,0.2032850287928233,0.0835060411199539,0.0,0.5273015574178445,0.0,0.05595763631601578,0.005847297752638474,0.02229594127625751,0.003169740845949262,0.029588809694434007,0.0,-0.0800336384235179,0.026218772482526832,0.0,0.0031022259916305096,2017,Kansas
