,State,Total_posterior,Total_prior,Total_std,ONG_max,ONG_prior,ONG_std,ONG_min,ONG_posterior,Total_min,Total_max,Total_ExclSoilAbs_posterior,Total_ExclSoilAbs_prior,Total_ExclSoilAbs_std,Total_ExclSoilAbs_min,Total_ExclSoilAbs_max,Oil_posterior,Oil_prior,Oil_std,Oil_min,Oil_max,Gas_posterior,Gas_prior,Gas_std,Gas_min,Gas_max,Coal_posterior,Coal_prior,Coal_std,Coal_min,Coal_max,Livestock_posterior,Livestock_prior,Livestock_std,Livestock_min,Livestock_max,Landfills_posterior,Landfills_prior,Landfills_std,Landfills_min,Landfills_max,Wastewater_posterior,Wastewater_prior,Wastewater_std,Wastewater_min,Wastewater_max,Rice_posterior,Rice_prior,Rice_std,Rice_min,Rice_max,OtherAnth_posterior,OtherAnth_prior,OtherAnth_std,OtherAnth_min,OtherAnth_max,BiomassBurn_posterior,BiomassBurn_prior,BiomassBurn_std,BiomassBurn_min,BiomassBurn_max,Reservoirs_posterior,Reservoirs_prior,Reservoirs_std,Reservoirs_min,Reservoirs_max,Wetlands_posterior,Wetlands_prior,Wetlands_std,Wetlands_min,Wetlands_max,Termites_posterior,Termites_prior,Termites_std,Termites_min,Termites_max,Lakes_posterior,Lakes_prior,Lakes_std,Lakes_min,Lakes_max,Seeps_posterior,Seeps_prior,Seeps_std,Seeps_min,Seeps_max,SoilAbsorb_posterior,SoilAbsorb_prior,SoilAbsorb_std,SoilAbsorb_min,SoilAbsorb_max,Year
0,Alabama,1.1301940171911977,0.903847980333764,0.066946984924026,0.1751242199575888,0.12606084466253892,0.006732446550904618,0.1433541159995743,0.15567190289130414,1.0271471377939558,1.3569474466664926,1.1640270726318893,0.9376809930344641,0.06694700916182655,1.0609801483309755,1.3907805640742126,0.0009470983387702028,0.0008855514289385035,2.886706998388655e-05,0.000893784905357494,0.0009973519252927249,0.15472480455253393,0.1251752932336004,0.0067035794809207315,0.1424603310942168,0.17412686803229607,0.2020145435816775,0.1859972125031484,0.017414045965363795,0.16391724925703535,0.23066921995081593,0.13088446174535306,0.09847746979573413,0.011644569114369506,0.10943048145636311,0.16264930013480494,0.21962599284068796,0.15922949723322993,0.021649502527407063,0.18100669980552586,0.27715736152079073,0.06099719407496258,0.03452315702090919,0.011668033740732235,0.040831017079610246,0.1004987925435851,0.0,0.0,0.0,0.0,0.0,0.01240275758572594,0.010456995817999129,0.0006268422776959303,0.0113750087238033,0.01440284284767197,0.004307562369848266,0.003421800195731083,0.0003382049347775394,0.003708142926607796,0.005495406638268362,0.1610333280097951,0.12991308851655392,0.010251402982694335,0.13699587464711532,0.19431299713263825,0.20173789232942266,0.17756475776113964,0.008740388823606534,0.1871578980053169,0.2354499614143021,0.012711692184165832,0.009773967303922663,0.0009922086457982168,0.010843272011214737,0.015530854995227118,0.0,0.0,0.0,0.0,0.0,0.0026395409222599022,0.00226214958575738,8.405524556526785e-05,0.00246980812677421,0.002926759936762764,-0.033833045509359665,-0.033833045509359665,0.0,-0.033833045509359665,-0.033833045509359665,2024
1,Arizona,0.09782638337175532,0.16199221946840453,0.019396512020268812,0.04278028949100461,0.04677288877845743,0.0011090295853794395,0.03908798609866148,0.040571926805265855,0.05601421078369778,0.12957737555296586,0.2194484448955408,0.2836142783063378,0.019396502294284742,0.17763630726139548,0.2511994313814039,5.9068928120417154e-06,5.80762480238211e-06,3.922098898438152e-07,5.541621271137902e-06,7.154609336689922e-06,0.040566019912453816,0.04676708115365505,0.0011086373754895956,0.03908244447739034,0.042773134881667924,0.0008620547558528058,0.0011672580582331536,0.00015667477048150085,0.0004541065672095151,0.00105499903937061,0.08633784114136445,0.11335241125646656,0.010299818806928575,0.06085502366694416,0.10085479848572405,0.052605002608947724,0.06691157032073106,0.002507297750422172,0.048538735982101684,0.05829620651596812,0.007469939684636944,0.008195026404472368,0.0007532433143063095,0.006981509827396541,0.009787179203793078,0.0,0.0,0.0,0.0,0.0,0.004729617906996931,0.005882279116741701,0.00020321892185332983,0.004411888144773693,0.00517557911702125,0.0018688792728725888,0.0025013345517061196,0.0004770478298872192,0.0005270485101525567,0.002314162486422912,0.00843366115258449,0.01801532711343548,0.0045538018704865185,-0.0034146963299746635,0.01410709904413196,0.004858678531441083,0.006491467013733973,0.0010914220510909664,0.001823042803753191,0.0059338574858373815,0.010978173218391583,0.013376648824873633,0.0013479787383102514,0.007384621990773088,0.012450673261735564,0.0,0.0,0.0,0.0,0.0,0.0007326978538549235,0.0009481137486319842,0.00018036550051707566,0.0002108565989675072,0.0008902511862775791,-0.12162203552139098,-0.12162203552139098,2.7755575615628914e-17,-0.12162203552139098,-0.12162203552139098,2024
2,Arkansas,0.842814346773992,0.8261357862996355,0.04847718699477914,0.17438690081194022,0.13554671989118852,0.00546969730093202,0.14242616798791752,0.15425765614221298,0.7411087771983996,0.9571029039574273,0.8800947582055608,0.8634162140100835,0.04847718829655531,0.7783891735497591,0.994383302867564,0.00834138129605954,0.006615391501260838,0.0004718387644036448,0.007322554752498737,0.009770361293073095,0.14591627484615344,0.12893132838992769,0.004997858536528375,0.13510361323541878,0.16461653951886712,0.011348982533783076,0.012552219675011647,0.0011880205567934216,0.008575349766531803,0.013068457241720396,0.14945210012387405,0.128997974836068,0.004672589945834327,0.13738829612745623,0.16773786184425843,0.06225253551205088,0.057746650291933266,0.0018507855900508775,0.058906943111065924,0.07000005504880226,0.01384631129014848,0.013535392252661857,0.0009328607931710736,0.011439345154056578,0.015564703787223263,0.17025732384093353,0.20399335987572126,0.02577052899944534,0.11392659695345927,0.20194646803192534,0.009785627065850455,0.009208374137247842,0.0003531222362627069,0.009247780328725277,0.010903662269387842,0.014460255560570144,0.016177088505523414,0.001655357644099077,0.01083932465251301,0.016721508805237102,0.07853845743832694,0.0683971817857519,0.0030120520373598564,0.07215436380096474,0.08686056265441097,0.1974428421128414,0.20041707130648423,0.014745022947489484,0.16083037463073951,0.2240255897553026,0.012499995688807327,0.011767570643010618,0.00044767232100629905,0.011699568364434506,0.013788329743330658,0.0,0.0,0.0,0.0,0.0,0.005952787119157711,0.005076729459501454,0.0002604245838789168,0.005435387945797169,0.0071279126085008705,-0.03728046270750668,-0.037280462707506686,0.0,-0.037280462707506686,-0.037280462707506686,2024
3,California,1.6782799201502683,1.706216037643229,0.1905589774791986,0.22844206617939022,0.22702309601466633,0.022332029018919546,0.14225935118626393,0.18200552730371922,1.3016149938857502,2.0531658326722457,1.8087451032508495,1.8366812157926617,0.1905589677738079,1.4320801630430255,2.1836309933072697,0.052497563055541444,0.07701201679181266,0.00524904087710884,0.04205717177849414,0.06709570852029613,0.12950796424817776,0.15001107922285367,0.017082988141810706,0.10020217940776979,0.1613463576590941,0.0,0.0,0.0,0.0,0.0,0.9417673662652295,0.7736490322967708,0.08191743495076682,0.7463068662504084,1.1034069855157012,0.3385795849870348,0.376244400596454,0.036158190669055734,0.2841025230511791,0.4136335699543231,0.0472589784180377,0.04812671893108763,0.005170132104900952,0.039206509340157174,0.06406575045081839,0.09158471676417228,0.1449960018662051,0.008192739647744038,0.07765074127820736,0.10989395613169915,0.030760026783303182,0.03288631608508029,0.004002755494654572,0.024538010432465344,0.038651790297839876,0.04462758335209558,0.02393460996751788,0.01270744788725521,0.023260937635373034,0.07461203033846894,0.037913698417507274,0.06952184475170001,0.016252340654172633,0.0036856361477534136,0.059606245244025184,0.050456580301506945,0.0609122620705859,0.008525159894494181,0.03231466866150442,0.06342745507815557,0.01416411936301945,0.016686305074479497,0.0035044984405931015,0.005466351540596073,0.01897342048736277,0.0,0.0,0.0,0.0,0.0,0.029626351089571165,0.06269992198662597,0.02205408318337643,-0.02721365619861937,0.05221301751909049,-0.13046497740623048,-0.13046497740623048,0.0,-0.13046497740623048,-0.13046497740623048,2024
4,Colorado,0.6871198815490298,0.7148530903532032,0.08539809239442316,0.4197626847622806,0.31025577855852393,0.025214099714003048,0.31077255325660114,0.34860106379424316,0.5034591243366219,0.8620908657355073,0.7667402237795863,0.7944735836074944,0.08539809848094532,0.5830794461325861,0.9417111584187898,0.04264888709827663,0.03742273776097473,0.0027040042364322473,0.03884750523917388,0.05091660896273555,0.3059521766959665,0.2728330407975492,0.0225100954775708,0.2719250480174273,0.3688460757995451,0.019437010819854824,0.04110766465172448,0.010436133737088132,-0.003959158123909627,0.03359748183331635,0.24574565095568277,0.24508677205936677,0.02733047245887019,0.1813482875317016,0.30521461283259455,0.06067537478443796,0.07760039147302922,0.0114861173833142,0.03574624865247668,0.07408175183899622,0.009744935211270622,0.012681126673021889,0.0017510168882714948,0.006282472209187528,0.01200202857293767,0.0,0.0,0.0,0.0,0.0,0.009567216173137083,0.010987242101953974,0.0014726982618227323,0.006279761330285058,0.01179084712177333,0.000448869726648622,0.0007214940301985169,0.0001973504980569718,-2.4556705523927068e-05,0.0006739084328429683,0.0044469321703714685,0.008084259539377013,0.001846950710079362,0.00035585667378242606,0.006899932160001695,0.022454090643417673,0.03428293166533921,0.01055273815461046,-0.005384350221386861,0.03187442551163562,0.015761357355214875,0.019120031124476584,0.003938378011653586,0.005588489051384505,0.020239455877052205,0.0,0.0,0.0,0.0,0.0,0.029857864836726675,0.03454594170082991,0.005246799653276591,0.017740231428807898,0.03539752658906492,-0.07962067339593099,-0.07962067339593099,1.3877787807814457e-17,-0.07962067339593099,-0.07962067339593099,2024
5,Connecticut,0.050290175246917666,0.047953413742760596,0.001115818674367086,0.007650394002051179,0.007159422477728984,9.17752771523064e-05,0.007119557167095843,0.007443525876693818,0.047948461222935015,0.05371254257385543,0.052378075368495446,0.05004131196278239,0.0011158205978109132,0.05003636065730144,0.055800449543507165,0.0,0.0,0.0,0.0,0.0,0.007443525876693818,0.007159422477728984,9.17752771523064e-05,0.007119557167095843,0.007650394002051179,0.0,0.0,0.0,0.0,0.0,0.003416420112557786,0.003136412080072888,0.0003175211267827753,0.003152265094728626,0.004413657712030807,0.006536409478702406,0.006148433696390085,0.0004695003991860046,0.006122922437843671,0.008006555131613712,0.0032785946250804923,0.0031778741842968202,3.925675681042812e-05,0.003144558481654585,0.0033670432700059574,0.0,0.0,0.0,0.0,0.0,0.003086391828361494,0.0029731534401354525,3.697197380943603e-05,0.002953862218459123,0.0031589758669942217,2.388366786055188e-05,2.3354281174932696e-05,2.870665909088957e-07,2.3013011126766664e-05,2.4501197015019538e-05,0.0,0.0,0.0,0.0,0.0,0.02817637505910617,0.027021071401915557,0.0003773063740003743,0.026955397121304115,0.02906137714978189,0.0004164812098180709,0.000401597605823855,4.979530006313972e-06,0.00039880357756534357,0.00042747638041291486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002087894323600126,-0.002087894323600126,0.0,-0.002087894323600126,-0.002087894323600126,2024
6,Delaware,0.052267318072616184,0.06229537581552222,0.007506600353917879,0.0011158039229377111,0.0011096202662473657,0.00012955428424355365,0.0006885488188555357,0.0009512356839030926,0.03657940449573135,0.06167639439130439,0.053993108092704106,0.06402116942749901,0.007506603193872898,0.03830518580761298,0.06340218684176885,0.0,0.0,0.0,0.0,0.0,0.0009512356839030926,0.0011096202662473657,0.00012955428424355365,0.0006885488188555357,0.0011158039229377111,0.0,0.0,0.0,0.0,0.0,0.003184339755736866,0.003748152116426368,0.0004499455243047894,0.002259567493580387,0.0037597560379156844,0.007146573195924252,0.009049343372688385,0.0014975757844958104,0.0037481344353014544,0.008914037859992122,0.0038605017809939324,0.0053627884329399775,0.0009104005398232191,0.0019401010119264972,0.005012669879838228,0.0,0.0,0.0,0.0,0.0,0.00043614682724999485,0.0005234807173162663,7.394105101993844e-05,0.00027638945396372944,0.0005264857042103952,4.0806072035800904e-05,4.62859889514343e-05,4.97421374673037e-06,3.124311894270745e-05,4.7334730456700603e-05,0.0,0.0,0.0,0.0,0.0,0.038157544869749455,0.043929548835190596,0.0044173412790462375,0.02921137126677898,0.04384338905088666,0.00021599954146919847,0.00025199850731288703,2.99472573972595e-05,0.00014985183482504522,0.0002523370236491945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0017257908299456682,-0.0017257908299456687,2.168404344971009e-19,-0.0017257908299456687,-0.0017257908299456687,2024
7,Florida,1.6845270607038838,1.0935310750763603,0.2597378152146488,0.09236748067251356,0.03972465924138995,0.013337058159463682,0.04479592138070142,0.06991135482891649,1.1992779852662516,2.2162132404590733,1.701355158652862,1.1103592578445174,0.2597377964132015,1.2161061543900276,2.2330413420133746,6.36873792882381e-05,1.9915733662849536e-05,4.069372324774455e-05,2.2132579565995792e-05,0.00022647290153341899,0.06984766744962825,0.039704743507727104,0.013296364436215938,0.044773788801135424,0.09214100777098014,0.0,0.0,0.0,0.0,0.0,0.2775971160942431,0.14320750827931744,0.06496284390200063,0.16219291516423742,0.46517366679018096,0.4649977188368154,0.24515370079567644,0.0906450009590531,0.2986444399554594,0.6882698205568373,0.022684322408266976,0.014426525505325413,0.004506981118113994,0.01583896736713021,0.03315724607043916,0.0,0.0,0.0,0.0,0.0,0.0269802267547411,0.014531830456952418,0.005732645938006485,0.016545851058423145,0.039403848592381455,0.01846934468921941,0.011164322192203258,0.0037724394018633913,0.01211226190111568,0.03003569907919782,0.0013984450549150921,0.0015835717782548009,0.00022221830032692887,0.0007633252912793413,0.0016138909746321406,0.8083538645608213,0.6342305245469504,0.08661420982667523,0.657583093049312,0.9958775554763195,0.010635229317042609,0.006224694004014707,0.0023927431380912777,0.006719003421771276,0.019196763949489132,0.0,0.0,0.0,0.0,0.0,0.0003278105886710816,0.00011207830861628432,0.00015758243828882656,0.0001281305301031503,0.0009370056833091742,-0.016828237721657053,-0.016828237721657056,3.469446951953614e-18,-0.016828237721657056,-0.016828237721657056,2024
8,Georgia,0.8925926120081892,0.7594250846111483,0.05849961931459359,0.056735469522104336,0.03692154298536155,0.003684823177417662,0.042174807625643795,0.04918917923747807,0.7983550036957332,1.049765806394656,0.9338984115421552,0.8007308905798894,0.05849961599686137,0.8396608088133526,1.0910716117706374,0.0,0.0,0.0,0.0,0.0,0.04918917923747807,0.03692154298536155,0.003684823177417662,0.042174807625643795,0.056735469522104336,0.0,0.0,0.0,0.0,0.0,0.13713910429305579,0.12057447164260225,0.005532375589329307,0.12776046356881038,0.15240439299639774,0.31606550766327346,0.21217594203124918,0.03607622522999608,0.2487480391618783,0.39757119107884387,0.02145673993930409,0.01571905470452466,0.0017841980749364608,0.018227785318725657,0.024545318152431675,1.0324173715663367e-14,4.8584323910999576e-15,2.3030022761969408e-15,6.629806426703086e-15,1.7465242077815005e-14,0.01688221824084786,0.013353626915558768,0.0010209821322018846,0.014931657135067762,0.019375872726269384,0.006585511614441416,0.005532961858363823,0.0003951215341558047,0.005870530342939869,0.007489213464324922,0.10959811197045877,0.07410908015763354,0.010106758825078457,0.08833765876319741,0.13198401354085434,0.2650005711802163,0.3120663919969668,0.03118958876525193,0.19750261734676042,0.30965828279154883,0.011701522276742968,0.010065536593143899,0.0005701092080859036,0.010776766487986662,0.013531974615397572,0.0,0.0,0.0,0.0,0.0,0.0002797982077407859,0.00021223418984487918,1.8197462037420356e-05,0.00024385288378084578,0.00034225477803659913,-0.04130585764744956,-0.04130585764744957,6.938893903907228e-18,-0.04130585764744957,-0.04130585764744957,2024
9,Idaho,0.2375250487850783,0.4367878893333901,0.053110538380164246,0.012706425513354906,0.015394637673273108,0.0027524920635840933,0.0019702174077883866,0.008595378609430075,0.1489571810858597,0.34229236910409727,0.30505027828937586,0.5043131593888938,0.05311054662958981,0.21648239856919896,0.4098176171979451,0.0,0.0,0.0,0.0,0.0,0.008595378609430075,0.015394637673273108,0.0027524920635840933,0.0019702174077883866,0.012706425513354906,0.0,0.0,0.0,0.0,0.0,0.19724501347380768,0.3162785526242434,0.03141864724373548,0.14266560019521066,0.25779575228897567,0.012606374579207562,0.019703001831524708,0.001687849746405256,0.009848251193816313,0.016224879126699586,0.0022668724281241248,0.00359754619782062,0.00035644114801188886,0.001683488952517925,0.0029660823754419276,0.0,0.0,0.0,0.0,0.0,0.0038523009036357473,0.0058733117677407095,0.000490222860875877,0.0030017049390017895,0.004826492741755753,0.002930707147792556,0.003855823604315842,0.0002779765854142622,0.0023954345761215794,0.0034750615304704694,0.04098722384047578,0.08375300871466389,0.011699415583987996,0.020539035787456913,0.06412439646565754,0.023704665162755514,0.03879182363941543,0.004766004758379221,0.014892920421559392,0.0325239966185598,0.010423619806904679,0.014171866662907564,0.0012612784230369898,0.007685782271349869,0.012526170811618251,0.0,0.0,0.0,0.0,0.0,0.0024380204142339526,0.0028934310461459843,0.00011715491308579023,0.0022445071493303317,0.0026501495659790077,-0.06752521405155124,-0.06752521405155124,0.0,-0.06752521405155124,-0.06752521405155124,2024
